LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
27N,116W,1979,-57,-4,-43,14,-78,-56,-3,4,23,113,44,-21
27N,116W,1980,-42,-52,-30,51,28,52,13,-20,51,-11,3,-39
27N,116W,1981,-56,-75,-43,-45,-88,-107,-40,17,-21,-42,-23,-22
27N,116W,1982,-32,-31,-53,-35,-93,2,-14,13,-21,-31,-37,-19
27N,116W,1983,-32,3,-16,-58,32,-16,-11,-58,-91,-64,-4,-13
27N,116W,1984,-1,22,-14,-5,-29,-35,-38,-45,-48,-27,-5,-53
27N,116W,1985,-52,-58,-15,-34,-32,-33,-44,-33,-59,-40,-44,-25
27N,116W,1986,-25,-30,-18,-59,-53,1,-2,3,43,-15,-37,-16
27N,116W,1987,7,-31,-11,17,-47,6,127,45,36,-40,-10,3
27N,116W,1988,-6,-58,6,-62,-12,34,18,95,49,17,36,31
27N,116W,1989,-18,-14,22,28,15,0,25,4,-20,-18,-27,-23
27N,116W,1990,-41,-25,-4,-65,-9,-85,-52,28,-21,-29,11,-30
27N,116W,1991,-45,-55,-50,38,39,-2,42,58,38,-32,24,-40
27N,116W,1992,-25,-72,-70,-4,-58,-23,-76,-14,-52,-14,-3,-8
27N,116W,1993,-46,-69,11,77,-42,-32,6,4,-15,-4,-9,22
27N,116W,1994,8,-45,-26,22,-47,-32,19,-38,-22,11,18,-21
27N,116W,1995,-20,-51,-1,45,-59,26,12,1,-12,47,3,24
27N,116W,1996,48,-12,44,51,14,-15,-5,-50,-25,14,23,-1
27N,116W,1997,19,47,33,44,-57,-25,32,11,-44,-3,6,2
27N,116W,1998,23,10,-15,31,-52,-15,-9,-49,23,30,25,24
27N,116W,1999,57,46,26,49,-7,-5,33,66,70,-9,5,1
27N,116W,2000,4,-34,-4,29,-17,-60,47,-27,2,-21,-9,-17
27N,116W,2001,-22,-40,-21,34,-83,-52,7,-2,-14,-9,42,21
27N,116W,2002,12,-17,15,-25,4,-31,-30,9,-9,24,-19,9
27N,116W,2003,-34,-65,20,21,21,5,-4,52,12,-19,25,6
27N,116W,2004,-1,-12,8,-16,-17,-42,0,-2,-55,-23,35,-13
